token_,count
('réformation', 'justice'),41
('non', 'seulement'),10
('tant', 'plus'),10
('mal', 'faire'),10
('prince', 'soubverain'),9
('tous', 'jours'),9
('plus', 'grande'),8
('bien', 'souvent'),8
('long', 'temps'),7
('tout', 'ainsy'),7
('toutes', 'sortes'),6
('entre', 'mains'),6
('tort', 'injure'),6
('eulx', 'mesmes'),6
('bestes', 'brutes'),6
('bien', 'plus'),5
('homme', 'bien'),5
('non', 'moins'),5
('trop', 'grande'),5
('sans', 'avoir'),5
('tout', 'faict'),5
('genre', 'humain'),5
('plus', 'grandes'),5
('ceulx', 'cy'),5
('doibt', 'estre'),5
('comme', 'dict'),5
('tout', 'peuple'),4
('dieu', 'vivant'),4
('grand', 'nombre'),4
('graces', 'dieu'),4
('grands', 'monde'),4
('ungs', 'aultres'),4
('cy', 'dessus'),4
('ceulx', 'là'),4
('bien', 'faire'),4
('faire', 'tort'),4
('faict', 'poinct'),4
('innocence', 'vie'),4
('deux', 'poincts'),4
('vouldra', 'plus'),4
('faict', 'veoir'),3
('royaulme', 'plus'),3
('plus', 'ordre'),3
('fault', 'poinct'),3
('reformation', 'justice'),3
('comme', 'faict'),3
('faire', 'quelque'),3
('laquelle', 'doibt'),3
('doibt', 'jamais'),3
('peult', 'plus'),3
('justice', 'comme'),3
('toutes', 'parts'),3
('ceulx', 'plus'),3
('bon', 'prince'),3
('vouleu', 'faire'),3
('pauvre', 'peuple'),3
('mal', 'faict'),3
('jamais', 'gueres'),3
('si', 'peu'),3
('peult', 'estre'),3
('si', 'bien'),3
('aultres', 'plus'),3
('faict', 'tout'),3
('quand', 'bien'),3
('graces', 'faveurs'),3
('porter', 'dommaige'),3
('tous', 'aultres'),3
('princes', 'soubverains'),3
('ceulx', 'bien'),3
('tout', 'chascung'),3
('fault', 'faire'),3
('aulcung', 'debvoir'),3
('op', 'pression'),3
('plus', 'grand'),3
('plus', 'estre'),3
('estre', 'plus'),3
('envers', 'dieu'),3
('dict', 'cy'),3
('cette', 'citation'),3
('loy', 'nature'),3
('aultres', 'bestes'),3
('pro', 'pos'),3
('récom', 'pense'),3
('plus', 'travailler'),3
('sans', 'aulcune'),3
('qua', 'lité'),3
('sans', 'aultre'),3
('leurs', 'propres'),3
('propres', 'privez'),3
('privez', 'noms'),3
('loyx', 'royaulme'),3
('partye', 'civile'),3
('ordonnances', 'orléans'),3
('excez', 'outraiges'),3
('faire', 'bien'),3
